fold,test_start,test_end,train_n,test_n,method,bias,MAE,RMSE,MAE_improvement_pct,RMSE_improvement_pct
1,2024-09-04,2025-05-09,5880,5880,① 原始预报（不订正）,0.3766666666666665,1.6101020408163267,2.249701416318404,0.0,0.0
1,2024-09-04,2025-05-09,5880,5880,② 常数去偏,0.8895748299319723,1.6400987435790646,2.389690788126312,-1.8630311621448226,-6.222575617923468
1,2024-09-04,2025-05-09,5880,5880,③ 按月去偏,0.6296847204160544,1.57093098106558,2.1747060217522343,2.432830886350954,3.3335710251229025
1,2024-09-04,2025-05-09,5880,5880,④ 按小时去偏,0.8895748299319729,1.6006529918089685,2.312410701586405,0.5868602590285219,-2.7874492505153547
1,2024-09-04,2025-05-09,5880,5880,⑤ 按(月×小时)去偏,0.6296847204160544,1.4799269654128477,2.050744501076254,8.084895994385535,8.843703159850403
1,2024-09-04,2025-05-09,5880,5880,⑥ 随机森林（多变量非线性）,0.7752176928666975,1.4925004830695692,1.9905456027746746,7.303981658648986,11.519564848202538
2,2025-05-09,2026-01-11,11760,5879,① 原始预报（不订正）,-0.16290185405681282,1.6473720020411637,2.2182963233052195,0.0,0.0
2,2025-05-09,2026-01-11,11760,5879,② 常数去偏,-0.09478110575749168,1.6309066876452907,2.2143362486178377,0.9994897555301318,0.17851874187310385
2,2025-05-09,2026-01-11,11760,5879,③ 按月去偏,0.16372558273917828,1.340473867454187,1.8468325048053635,18.629558727883985,16.74545526660667
2,2025-05-09,2026-01-11,11760,5879,④ 按小时去偏,-0.09488660781543448,1.6298522933582347,2.169400480963437,1.0634943814282025,2.2042069775839765
2,2025-05-09,2026-01-11,11760,5879,⑤ 按(月×小时)去偏,0.16378041538267377,1.2360185831978818,1.6908281745019624,24.970281049671694,23.7780743384788
2,2025-05-09,2026-01-11,11760,5879,⑥ 随机森林（多变量非线性）,0.1472649571591087,1.096007920975255,1.4765664671000818,33.46931235827399,33.43691500601571
3,2026-01-11,2026-09-15,17639,5880,① 原始预报（不订正）,-0.5437925170068031,1.5010374149659869,1.968454882858721,0.0,0.0
3,2026-01-11,2026-09-15,17639,5880,② 常数去偏,-0.44408164904376635,1.4629505766250033,1.943273741734596,2.5373676872569244,1.2792338469833366
3,2026-01-11,2026-09-15,17639,5880,③ 按月去偏,-0.017584912692689896,1.2582829898284777,1.7052476438113824,16.172443319343234,13.371260948845906
3,2026-01-11,2026-09-15,17639,5880,④ 按小时去偏,-0.4440482137450806,1.483944654803107,1.9240865847850825,1.1387297873096107,2.25396570985685
3,2026-01-11,2026-09-15,17639,5880,⑤ 按(月×小时)去偏,-0.01759564101435996,1.229385651804719,1.6422892320606775,18.097601062623973,16.569627967513487
3,2026-01-11,2026-09-15,17639,5880,⑥ 随机森林（多变量非线性）,0.033652334563307344,1.0864453513730046,1.4509827396637685,27.620368383847172,26.28823996430363
