time,observed_temperature,forecast_temperature,humidity,pressure,wind_speed
2026-01-01 00:00:00,10.2,10.54,76.6,1013.3,4.61
2026-01-01 01:00:00,9.29,9.67,73.8,1011.6,6.32
2026-01-01 02:00:00,9.91,10.35,69.6,1012.3,3.49
2026-01-01 03:00:00,11.01,11.43,77.0,1014.8,4.77
2026-01-01 04:00:00,10.39,9.42,73.1,1014.5,2.78
2026-01-01 05:00:00,11.53,11.03,68.1,1014.5,6.6
2026-01-01 06:00:00,14.41,13.88,67.7,1015.0,1.31
2026-01-01 07:00:00,15.39,14.9,64.0,1015.6,7.5
2026-01-01 08:00:00,16.12,17.32,76.7,1015.0,2.9
2026-01-01 09:00:00,18.65,19.35,68.9,1015.1,0.58
2026-01-01 10:00:00,19.46,19.51,63.3,1016.3,3.32
2026-01-01 11:00:00,20.85,22.6,68.6,1015.3,1.3
2026-01-01 12:00:00,22.51,25.37,59.1,1016.9,5.1
2026-01-01 13:00:00,21.52,24.09,55.9,1014.9,1.37
2026-01-01 14:00:00,22.0,23.35,67.1,1017.8,1.88
2026-01-01 15:00:00,22.84,25.05,60.9,1017.3,1.72
2026-01-01 16:00:00,21.98,25.39,54.3,1017.2,1.87
2026-01-01 17:00:00,22.18,24.46,58.3,1018.0,3.06
2026-01-01 18:00:00,20.05,22.96,58.1,1018.7,0.96
2026-01-01 19:00:00,18.26,21.23,58.2,1018.0,4.9
2026-01-01 20:00:00,19.07,20.77,68.5,1015.1,4.96
2026-01-01 21:00:00,16.21,18.12,77.7,1015.6,4.06
2026-01-01 22:00:00,15.03,14.67,63.0,1016.1,0.58
2026-01-01 23:00:00,12.61,13.2,76.4,1016.7,2.88
2026-01-02 00:00:00,12.37,13.03,70.7,1017.0,2.99
2026-01-02 01:00:00,12.29,11.99,71.6,1015.6,0.1
2026-01-02 02:00:00,11.05,12.17,73.0,1016.3,6.76
2026-01-02 03:00:00,12.45,11.49,69.5,1015.1,5.19
2026-01-02 04:00:00,12.22,11.71,74.4,1015.0,2.45
2026-01-02 05:00:00,13.36,13.14,68.3,1013.9,3.07
2026-01-02 06:00:00,14.29,14.91,72.4,1014.1,3.52
2026-01-02 07:00:00,17.62,16.66,65.8,1013.3,2.1
2026-01-02 08:00:00,17.59,18.42,64.9,1013.4,2.38
2026-01-02 09:00:00,18.2,18.66,60.7,1015.1,1.3
2026-01-02 10:00:00,21.04,21.26,58.1,1012.7,0.5
2026-01-02 11:00:00,20.52,22.0,65.5,1016.0,2.3
2026-01-02 12:00:00,22.48,24.19,61.3,1013.5,7.49
2026-01-02 13:00:00,21.21,22.8,55.8,1012.8,4.6
2026-01-02 14:00:00,21.76,24.07,60.4,1011.4,1.57
2026-01-02 15:00:00,22.62,24.89,62.3,1012.7,4.43
2026-01-02 16:00:00,22.29,25.0,50.7,1011.1,6.5
2026-01-02 17:00:00,20.71,23.8,64.2,1011.4,5.31
2026-01-02 18:00:00,19.06,22.66,60.6,1013.6,3.15
2026-01-02 19:00:00,17.28,19.03,69.4,1010.6,1.38
2026-01-02 20:00:00,14.59,18.13,66.8,1011.6,4.75
2026-01-02 21:00:00,13.46,14.24,63.3,1009.5,3.98
2026-01-02 22:00:00,12.02,13.52,66.3,1009.9,5.24
2026-01-02 23:00:00,11.8,13.35,75.0,1011.5,4.59
2026-01-03 00:00:00,10.08,11.06,78.7,1008.9,5.62
2026-01-03 01:00:00,7.6,7.67,76.6,1011.2,1.66
2026-01-03 02:00:00,8.87,8.88,82.4,1009.9,6.29
2026-01-03 03:00:00,8.31,7.92,71.7,1008.6,3.49
2026-01-03 04:00:00,8.49,7.88,79.4,1009.7,8.19
2026-01-03 05:00:00,10.28,10.49,71.0,1010.0,1.28
2026-01-03 06:00:00,11.68,11.64,71.7,1009.6,7.34
2026-01-03 07:00:00,12.87,12.35,73.4,1007.4,3.49
2026-01-03 08:00:00,12.83,13.51,69.0,1008.3,1.37
2026-01-03 09:00:00,14.64,15.27,68.6,1008.9,1.79
2026-01-03 10:00:00,16.44,17.74,72.9,1009.2,2.2
2026-01-03 11:00:00,18.05,19.62,62.5,1010.0,4.06
2026-01-03 12:00:00,17.69,18.78,70.1,1009.7,4.31
2026-01-03 13:00:00,18.39,20.01,59.3,1008.4,1.57
2026-01-03 14:00:00,17.73,20.44,68.5,1010.3,2.94
2026-01-03 15:00:00,17.34,20.21,73.7,1010.8,8.36
2026-01-03 16:00:00,18.25,20.88,52.8,1011.0,7.32
2026-01-03 17:00:00,17.64,20.41,62.1,1011.8,4.09
2026-01-03 18:00:00,15.17,18.59,72.6,1011.8,3.1
2026-01-03 19:00:00,14.51,16.66,69.7,1011.8,3.3
2026-01-03 20:00:00,12.39,14.98,75.8,1011.6,4.53
2026-01-03 21:00:00,9.99,11.82,74.5,1010.3,0.44
2026-01-03 22:00:00,9.31,10.77,79.0,1012.7,2.36
2026-01-03 23:00:00,8.99,10.85,78.2,1012.9,1.17
2026-01-04 00:00:00,6.78,8.08,88.2,1013.3,4.0
2026-01-04 01:00:00,7.46,8.4,82.6,1012.1,4.62
2026-01-04 02:00:00,3.93,4.85,88.3,1012.6,1.79
2026-01-04 03:00:00,6.92,6.83,80.1,1015.1,6.93
2026-01-04 04:00:00,6.98,7.14,79.6,1014.3,0.06
2026-01-04 05:00:00,7.68,7.19,78.8,1015.4,0.66
2026-01-04 06:00:00,9.3,9.25,80.5,1015.0,3.56
2026-01-04 07:00:00,9.17,8.99,76.6,1015.3,5.62
2026-01-04 08:00:00,12.23,12.42,75.6,1016.5,7.21
2026-01-04 09:00:00,14.34,15.15,81.4,1015.3,1.85
2026-01-04 10:00:00,16.8,17.12,71.7,1016.2,5.7
